"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","longitude",9.1875,-0.0105295478812003,-0.0106529681160382,-0.00924715755059508,1501,5
"Coccolithophores","longitude",11.5,-0.00888953507647838,-0.00848557268473255,-0.00744736077373212,1545,5
"Coccolithophores","longitude",14.1875,-0.0045620855552171,-0.00642271389605859,-0.00126590807265708,1510,5
"Coccolithophores","longitude",17.25,-0.00259618066096919,-0.00644833091961403,0.000739967549117648,1482,5
"Coccolithophores","longitude",20.5,0.0247982287051693,0.0318506336807828,0.0334990195589396,1486,5
"Coccolithophores","longitude",23.6875,0.0259108658599759,0.0263363057175792,0.0290911367583068,1511,5
"Coccolithophores","longitude",26.5625,0.0240689818594409,0.0189504062616957,0.0304449842931923,1450,5
"Coccolithophores","longitude",29.125,0.0295092831342132,0.0209157179767107,0.0381772276747101,1515,5
"Coccolithophores","longitude",31.5,0.0364754295258804,0.0293575523604721,0.049250734422194,1472,5
"Coccolithophores","longitude",33.75,0.0397061789959951,0.0337959427031034,0.0534694114735096,1585,5
"Coccolithophores","mlotst",3.3439808011055,0.00437373824923396,0.00319830210818618,0.00431159325126068,1500,5
"Coccolithophores","mlotst",3.97269619703293,0.000960058032958083,0.000446457042166146,0.000821617560356779,1500,5
"Coccolithophores","mlotst",4.35526299476624,-0.00083286174493999,-0.0011712161680232,-0.0010704474337217,1500,5
"Coccolithophores","mlotst",4.69006006717682,-0.00198627391668167,-0.00225632088405669,-0.00201622796631755,1500,5
"Coccolithophores","mlotst",4.98129134178162,-0.00236031954140349,-0.002806285671247,-0.0021051462731475,1500,5
"Coccolithophores","mlotst",5.27555522918701,-0.00248366536395591,-0.00275844394651819,-0.00222200044373239,1500,5
"Coccolithophores","mlotst",5.56517120599747,-0.00255017980728979,-0.00293098931193548,-0.00244857836640772,1500,5
"Coccolithophores","mlotst",5.83736873865128,-0.00218843546281764,-0.00232960191692326,-0.00214051742041043,1500,5
"Coccolithophores","mlotst",6.14274145364761,-0.00196531195247741,-0.00213873882981592,-0.00185544852727763,1500,5
"Coccolithophores","mlotst",6.51168130636215,-0.00148007923747035,-0.00172060692032412,-0.00157357257613817,1500,5
"Coccolithophores","mlotst",6.94745781421661,-0.00141533538099468,-0.00163887729883844,-0.00133284025435644,1500,5
"Coccolithophores","mlotst",7.4457447052002,-0.0014756895583845,-0.0017355238717404,-0.00134925430654666,1500,5
"Coccolithophores","mlotst",8.03821132183075,-0.000957732027189838,-0.001234156958384,-0.000742904174041655,1500,5
"Coccolithophores","mlotst",8.78878605365753,-0.000450218168161015,-0.000634349428702084,-0.000211145122592009,1500,5
"Coccolithophores","mlotst",9.78355951309204,-4.24031757740084e-05,-0.000129346659206747,0.000240672992563917,1500,5
"Coccolithophores","mlotst",11.2025205135345,0.00165388863595458,0.0015946620279495,0.00208142488160124,1500,5
"Coccolithophores","mlotst",13.397737121582,0.0028368526922503,0.00217248205783733,0.00354484084253675,1500,5
